City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Portobelo,PA,77.74,few clouds,9.55,-79.65,Scuba Portobelo
618,Arona,ES,82.9,clear sky,28.0996,-16.681,Paradise Court
620,Dicabisagan,PH,88.3,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
625,Alexandria,EG,80.56,scattered clouds,31.2156,29.9553,Royal Crown Hotel
626,Puerto Colombia,CO,80.69,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
627,North Myrtle Beach,US,81.12,clear sky,33.816,-78.68,Avista Resort
630,Amahai,ID,78.28,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
634,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
637,Dafeng,CN,89.53,clear sky,23.4517,108.5881,Shenglong Hotel
645,Amazar,RU,79.81,clear sky,53.858,120.875,Гостиничный Комплекс Уют
646,Pangai,TO,78.91,smoke,-19.8,-174.35,Ha'apai Beach Resort
647,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
650,Kamaishi,JP,79.21,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
652,Sandpoint,US,88.41,clear sky,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
653,Kovur,IN,83.52,overcast clouds,14.4833,79.9833,Hotel Yesh Park
658,Labuhan,ID,78.58,scattered clouds,-6.8844,112.2051,DoubleFAG
665,Bubaque,GW,78.17,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
666,Balkanabat,TM,78.06,light rain,39.5108,54.3671,Nebitchi Hotel
672,Ahuimanu,US,85.71,clear sky,21.4447,-157.8378,Paradise Bay Resort
674,Palembang,ID,78.89,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
675,Chegdomyn,RU,79.3,clear sky,51.1167,133.0167,Gostinitsa Bureya
678,Awbari,LY,77.52,clear sky,26.5921,12.7805,فندق أوباري
682,Songkhla,TH,78.85,broken clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
689,Tastur,TN,77.02,clear sky,36.5513,9.4431,Les monts du verger
690,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
